,GTEX-1B8KZ-0226-SM-7EWF6,GTEX-1AYD5-0226-SM-79ONV,GTEX-1AMFI-0926-SM-731E4,GTEX-1A3MV-0126-SM-731FQ,GTEX-1AX9K-0226-SM-793CM
chr17:49588600-49589400,16,57,16,11,0
chr17:49699401-49700000,116,0,57,44,85
chr17:49854001-49855000,80,124,130,154,0
chr17:49857402-49863400,224,284,228,497,194
chr17:49870401-49873799,0,16,51,101,38
chr17:50151563-50152255,74,14,81,22,0
chr17:50261201-50262800,0,19,22,52,0
chr17:50301001-50303000,17,36,0,38,2
chr17:50327202-50329799,0,66,16,21,9
chr17:50331400-50332600,0,89,0,13,10
chr17:50487800-50488600,68,116,103,56,77
chr17:50793080-50793300,1,0,22,0,14
chr17:50803601-50804400,0,26,33,31,0
chr17:50918865-50919127,0,0,100,114,175
chr17:50919583-50920004,0,0,169,372,412
chr17:50924601-50927599,0,0,45,162,97
chr17:50950727-50951078,0,2,0,15,23
chr17:55175602-55178399,29,0,17,41,52
chr17:55198746-55199767,0,4,19,37,34
chr17:55201002-55202199,41,18,7,0,2
chr17:55605601-55610800,46,0,6,0,19
chr17:56749602-56757199,22,9,19,0,18
chr17:56777401-56778400,0,14,19,29,0
chr17:57015802-57018399,23,0,39,21,0
chr17:57697202-57699799,97,120,194,112,217
chr17:57747451-57753199,0,0,58,38,21
chr17:58022575-58023600,18,103,0,26,0
chr17:58032402-58033799,20,18,0,41,0
chr17:58518626-58518965,20,18,96,26,50
chr17:59315601-59316400,0,0,17,29,5
chr17:59405802-59407800,44,36,20,21,9
chr17:59851643-59851904,0,0,16,21,28
chr17:59853265-59853665,0,32,55,0,9
chr17:59855089-59855437,0,0,5,23,58
chr17:59855621-59855984,1,15,55,49,48
chr17:60033967-60035201,0,12,9,62,0
chr17:60105602-60108692,46,139,180,289,119
chr17:60145201-60148599,0,8,17,18,46
chr17:60173001-60174600,23,17,67,41,35
chr17:62616802-62620000,90,112,20,21,3
chr17:62622001-62622400,28,10,0,35,44
chr17:63459801-63463200,86,157,30,0,67
chr17:63596401-63599200,54,34,64,41,0
chr17:64419957-64421000,49,0,9,9,0
chr17:64470601-64471400,1776,3041,807,905,1236
chr17:64471601-64471800,664,717,141,242,315
chr17:64723202-64728599,452,39,185,212,572
chr17:64729401-64730800,0,37,21,39,108
chr17:64731202-64734199,22,0,76,61,67
chr17:64736601-64737600,22,25,72,0,0
chr17:64739001-64743399,32,16,61,17,5
chr17:64748037-64748441,0,0,19,10,37
chr17:64986397-64986724,29,37,9,28,9
chr17:64988533-64988871,2,30,0,17,0
chr17:64995488-64995879,11,9,0,31,0
chr17:64995956-64996124,11,0,0,11,2
chr17:65000201-65000600,8,0,9,0,16
chr17:65057730-65058030,36,6,54,26,18
chr17:65076201-65076400,68,4,0,0,37
chr17:65076801-65077000,16,3,0,7,18
chr17:65078201-65080000,86,100,36,48,103
chr17:65085400-65086400,85,54,34,77,37
chr17:65087601-65088599,40,131,67,57,107
chr17:65092196-65092732,0,0,34,37,44
chr17:65521401-65524999,43,13,36,39,0
chr17:67372800-67373401,0,37,23,10,0
chr17:67751002-67751999,13,0,38,0,14
chr17:67753001-67753600,0,0,19,22,14
chr17:67754602-67756265,17,10,0,22,35
chr17:67759001-67760400,12,0,14,15,0
chr17:68020266-68020652,0,28,6,0,9
chr17:68047801-68049000,23,0,35,21,0
chr17:68049801-68051200,23,28,10,15,24
chr17:68052002-68056199,119,56,69,22,0
chr17:68124601-68125201,46,245,209,247,75
chr17:68161918-68162800,83,219,254,127,187
chr17:68165001-68165600,11,160,77,133,70
chr17:68172334-68173000,0,18,19,0,47
chr17:68820448-68823200,0,13,20,11,13
chr17:68829001-68835800,81,107,25,55,135
chr17:69070401-69071800,104,289,222,216,227
chr17:69560801-69561801,38,36,19,0,9
chr17:69573402-69576200,25,20,35,83,38
chr17:70164601-70165000,231,370,206,236,354
chr17:70181401-70182400,0,18,38,19,37
chr17:70183801-70184400,68,0,31,42,107
chr17:70184714-70186199,39,70,35,28,309
chr17:70191001-70192000,116,107,29,165,390
chr17:73138202-73146400,12,79,20,33,0
chr17:73277802-73280400,209,98,294,268,51
chr17:73980201-73985800,41,20,35,60,69
chr17:74187601-74188401,0,6,7,0,35
chr17:74263001-74263200,27,0,6,0,1
chr17:74363186-74363322,16,9,21,59,32
chr17:74373402-74375199,610,1643,775,727,1980
chr17:74490601-74498199,250,425,280,381,237
chr17:74501601-74505200,183,78,192,283,148
chr17:74516713-74517011,33,0,0,10,32
chr17:74520090-74520505,120,0,66,46,105
chr17:74534589-74534917,261,224,114,176,455
chr17:74536622-74536996,171,104,50,82,170
chr17:74554601-74556200,280,424,142,73,5358
chr17:74557401-74559800,219,242,192,136,4824
chr17:74626996-74627168,11,48,18,0,58
chr17:74639546-74640325,150,37,0,46,159
chr17:74643116-74643239,1,2,0,0,5
chr17:75201625-75202400,89,92,0,19,19
chr17:75202601-75202800,37,5,0,0,9
chr17:75295661-75296137,32,20,17,0,0
chr17:75297489-75297859,49,78,99,73,93
chr17:75313959-75314106,11,7,18,9,0
chr17:75771402-75772599,0,8,9,0,14
chr17:75864527-75864894,0,0,19,32,25
chr17:76262773-76263153,22,84,15,75,22
chr17:76593002-76594311,23,11,0,0,57
chr17:76597880-76598308,37,0,0,41,109
chr17:76606202-76607000,355,265,53,61,189
chr17:76607201-76607400,53,17,37,29,37
chr17:76667802-76668999,0,14,0,30,31
chr17:76784601-76785400,379,422,285,348,313
chr17:76789237-76789665,1022,1099,604,588,1000
chr17:76797200-76798000,0,0,4,10,2
chr17:77220201-77222400,0,109,123,313,214
chr17:77223401-77224600,14,84,77,171,118
chr17:77227665-77229199,0,87,121,104,99
chr17:77233913-77234334,0,22,46,32,38
chr17:77235484-77235725,11,0,9,33,25
chr17:77504001-77505000,0,18,19,38,1
chr17:77507801-77508800,0,18,38,31,0
chr17:77511831-77512657,0,31,35,49,0
chr17:77872337-77872735,1,18,19,113,21
chr17:77886395-77886720,45,18,0,1,0
chr17:78258607-78258911,0,41,3,10,9
chr17:78292401-78295288,0,14,11,19,0
chr17:78650001-78655200,15,31,138,169,19
chr17:78658299-78658863,0,4,5,33,14
chr17:78672401-78673410,178,183,154,50,230
chr17:78931401-78931800,31,0,19,34,47
chr17:78939202-78940400,8,67,19,1,19
chr17:78940788-78941200,11,4,4,7,0
chr17:78946001-78948400,46,17,18,0,0
chr17:78981401-78981800,0,46,28,10,0
chr17:79053001-79053801,0,27,68,51,27
chr17:79690401-79692800,10,0,372,273,0
chr17:79699801-79700600,0,55,38,110,0
chr17:79715001-79715800,1,0,61,10,0
chr17:79722201-79723600,148,230,51,20,19
chr17:79757042-79757408,0,14,9,0,9
chr17:79804502-79804902,0,18,7,10,9
chr17:80254677-80255141,0,2,0,14,9
chr17:80443922-80445399,22,73,9,42,40
chr17:80446402-80448799,89,157,9,107,74
chr17:81011001-81011366,151,277,54,130,9
chr17:81012201-81012400,81,84,111,63,14
chr17:81012801-81013000,77,252,120,80,44
chr17:81185002-81186999,0,51,35,78,0
chr17:81299345-81300257,0,27,11,22,35
chr17:81391260-81393656,8530,25685,5535,7882,8994
chr17:81467402-81470399,31,164,11,36,86
chr17:81499402-81500599,0,51,30,40,1
chr17:81675770-81676428,186,177,170,173,287
chr17:81676798-81676972,114,36,77,64,119
chr17:81721602-81724800,90,66,36,91,71
chr17:82076601-82077661,22,0,0,20,18
chr17:82222866-82223117,22,23,38,51,34
chr17:82225497-82225867,0,55,39,36,41
chr17:82226847-82227145,17,0,39,36,21
chr17:82297423-82297879,41,16,9,49,47
chr17:82297989-82298599,0,0,19,79,6
chr17:82308601-82309400,237,121,218,512,124
chr17:82312801-82313000,27,15,19,44,9
chr17:82334866-82335331,32,30,45,19,31
chr17:82338955-82339442,0,27,3,20,24
chr17:82370406-82370796,11,11,0,41,15
chr17:82380201-82380400,24,9,0,13,0
chr17:82384718-82384866,38,21,17,70,21
chr17:82706801-82710399,0,26,18,4,17
chr16:41801-42256,96,196,380,139,23
chr16:42401-42800,37,87,210,174,60
chr16:395201-395400,38,17,9,0,0
chr16:750602-752800,3,34,30,0,19
chr16:803801-804400,0,24,31,48,9
chr16:807765-808150,6,23,0,0,8
chr16:1922880-1924799,2,16,19,20,19
chr16:2652201-2655599,1912,1427,1145,2114,573
chr16:2860401-2861599,48,113,57,19,28
chr16:3009804-3010456,62,129,105,222,433
chr16:3064136-3064319,45,31,95,127,59
chr16:3163001-3164200,107,163,125,39,62
chr16:3348470-3349669,113,27,19,9,0
chr16:4169801-4171200,39,0,0,20,8
chr16:4283201-4284400,0,36,0,22,19
chr16:4299199-4299351,11,80,44,21,1
chr16:4303801-4304799,62,116,67,122,120
chr16:4307392-4308109,143,247,56,89,234
chr16:4458201-4460400,395,436,833,430,431
chr16:4603401-4604600,199,67,85,79,74
chr16:4605001-4605200,0,5,1,0,24
chr16:4773601-4775800,42,34,0,0,19
chr16:8651801-8652001,34,46,30,41,11
chr16:8655001-8655800,55,63,86,54,80
chr16:8661200-8661400,37,26,6,0,10
chr16:8665201-8666000,718,496,377,452,749
chr16:8879802-8880722,20,1,0,7,0
chr16:9127574-9128009,7,72,46,85,0
chr16:9134602-9136799,0,64,111,74,87
chr16:9143201-9143400,5,35,48,26,9
chr16:9145002-9146799,102,129,41,61,47
chr16:9148295-9149200,19,18,48,0,0
chr16:9154443-9154832,0,3,19,21,26
chr16:9311001-9311857,23,0,0,34,47
chr16:10485401-10486200,0,0,9,28,54
chr16:10504252-10505400,20,0,11,20,0
chr16:10509515-10510006,19,0,9,0,19
chr16:10511800-10512201,42,11,22,0,9
chr16:10584601-10585600,0,18,0,24,7
chr16:10621346-10623199,0,58,18,20,0
chr16:10824401-10824857,11,0,12,15,0
chr16:10826201-10826400,0,0,9,28,6
chr16:10843028-10843268,11,0,58,94,20
chr16:10847288-10847631,0,0,95,119,10
chr16:10855201-10857200,89,0,432,402,37
chr16:10859551-10860400,19,0,129,148,9
chr16:10861602-10864199,62,34,95,271,103
chr16:11189001-11189400,60,124,205,141,81
chr16:11189801-11193999,69,107,37,188,68
chr16:11239602-11241599,14,0,35,75,17
chr16:11527802-11534999,86,140,576,742,422
chr16:11535201-11536007,0,37,67,122,90
chr16:11539201-11543199,1017,1007,1561,2096,2731
chr16:11543602-11544800,44,59,114,113,233
chr16:11747801-11749400,2,0,0,78,3
chr16:12643602-12645599,17,36,93,40,107
chr16:12646002-12647999,0,19,10,40,37
chr16:12652001-12652401,138,221,153,268,466
chr16:12812201-12819793,22,37,0,0,9
chr16:14419801-14421199,69,73,0,38,0
chr16:14427202-14428482,23,10,0,13,0
chr16:14956802-14960399,0,30,36,19,0
chr16:14970615-14971044,46,60,83,35,131
chr16:15382002-15383999,2,138,134,86,19
chr16:16147800-16148000,39,54,39,51,54
chr16:17018401-17018999,9,51,16,30,0
chr16:17025201-17028199,197,87,141,126,33
chr16:17062601-17064999,61,29,0,42,53
chr16:17078201-17080200,0,31,33,19,0
chr16:17476201-17477399,23,16,19,0,19
chr16:17835202-17838199,0,54,91,20,86
chr16:17850801-17851400,0,37,16,10,9
chr16:18762002-18763999,8,19,17,0,0
chr16:18767402-18768600,64,36,36,21,17
chr16:18772201-18773200,68,23,64,40,0
chr16:18773601-18776831,159,169,151,179,153
chr16:21389602-21390799,528,291,449,343,248
chr16:21395201-21395800,0,48,146,18,50
chr16:21762601-21763800,39,36,19,0,8
chr16:21781802-21787399,25,34,28,0,55
chr16:21825401-21826800,0,27,7,41,17
chr16:22291401-22292800,10,35,0,38,0
chr16:23461942-23462224,14,34,0,0,2
chr16:23578002-23579199,19,70,3,58,37
chr16:23598602-23600800,19,77,19,0,0
chr16:25207601-25209800,9,18,0,2,0
chr16:25262401-25262800,0,6,19,1,6
chr16:25317801-25318200,2,0,38,20,9
chr16:27295401-27298199,20,37,7,53,111
chr16:27298402-27306600,12,49,72,22,61
chr16:27382401-27385600,0,35,8,21,0
chr16:28090802-28092199,18,25,39,51,45
chr16:28092438-28094199,0,60,35,16,24
chr16:28096801-28097200,0,26,9,29,33
chr16:28329802-28331356,318,77,231,86,133
chr16:28337400-28338401,0,14,3,0,24
chr16:29374401-29375000,183,47,47,20,71
chr16:29640055-29657199,153,83,21,46,21
chr16:29729002-29730199,0,13,9,13,53
chr16:29738651-29738726,0,1,5,10,17
chr16:29753602-29759799,92,30,31,33,15
chr16:29849401-29849799,2,18,2,7,0
chr16:29852002-29853399,6,37,19,0,75
chr16:30145801-30155199,0,22,23,25,23
chr16:30163201-30168999,34,105,7,23,36
chr16:30545001-30545400,45,1,22,17,0
chr16:30568283-30568522,0,6,28,19,31
chr16:30634229-30634767,124,202,114,143,202
chr16:30637801-30638396,0,7,18,0,9
chr16:30814216-30814691,10,0,38,10,46
chr16:30829015-30830438,266,310,204,65,238
chr16:30916500-30916524,4,16,9,5,12
chr16:31020601-31021000,20,36,19,0,17
chr16:31236601-31237200,20,29,45,44,49
chr16:31253664-31253957,0,2,9,34,1
chr16:31333401-31334600,702,850,297,428,1027
chr16:31334801-31335600,407,581,253,143,579
chr16:31351878-31353321,79,110,38,21,50
chr16:31390401-31391800,8,64,37,100,66
chr16:31478601-31478800,15,0,9,0,24
chr16:31516401-31517400,5,9,19,40,0
chr16:33528002-33530312,24,47,20,0,0
chr16:34998860-34999785,22,18,0,0,12
chr16:46638801-46640000,0,0,47,22,31
chr16:46932601-46933288,0,9,0,13,11
chr16:47076601-47077000,124,35,31,20,75
chr16:47712601-47714200,0,50,38,60,9
chr16:49366201-49368616,0,82,0,22,57
chr16:50043601-50044000,39,0,23,20,24
chr16:50657202-50657600,57,18,17,20,77
chr16:53513601-53513800,18,0,11,0,16
chr16:53518819-53519287,14,34,95,41,0
chr16:56927401-56928600,0,30,38,40,0
chr16:56946202-56948399,9,0,108,83,107
chr16:56948802-56953400,20,0,58,106,40
chr16:56985025-56985047,14,45,31,14,11
chr16:57422001-57422888,0,55,34,13,36
chr16:57424402-57425399,83,66,64,0,128
chr16:57594601-57595000,198,86,24,68,37
chr16:57601910-57602403,170,77,111,49,74
chr16:57609756-57610070,44,55,0,0,9
chr16:58658801-58659292,11,14,20,0,0
chr16:64745201-64746200,0,68,77,123,0
chr16:64753401-64753656,0,9,9,10,0
chr16:66054001-66054800,28,0,14,0,5
chr16:66204402-66209200,14,17,18,0,0
chr16:66364417-66364981,39,18,23,20,2
chr16:66406922-66407184,0,20,4,20,11
chr16:66416602-66419199,23,31,0,21,71
chr16:66592001-66593599,0,0,54,10,37
chr16:66596201-66598600,0,17,39,19,17
chr16:66699201-66704799,33,34,0,83,0
chr16:66714201-66715799,11,52,20,0,37
chr16:66926506-66926890,23,31,0,17,66
chr16:66927000-66927403,41,76,53,18,26
chr16:66928310-66928546,14,17,3,0,2
chr16:66930001-66931000,0,18,19,17,18
chr16:66977561-66979599,2,4,18,0,0
chr16:67024401-67025600,44,62,19,27,0
chr16:67103801-67107199,0,8,17,41,8
chr16:67152801-67153400,21,102,34,45,33
chr16:67386601-67388399,24,2,25,2,0
chr16:67422602-67426200,118,109,114,117,184
chr16:67547722-67548068,43,29,9,39,38
chr16:67890254-67891123,0,62,0,10,80
chr16:68604801-68606001,23,32,0,78,49
chr16:68724601-68726400,21,81,16,0,29
chr16:68730001-68730400,2,0,0,18,9
chr16:68734600-68735000,0,0,9,70,4
chr16:68736001-68736400,0,3,0,41,27
chr16:69086801-69087800,306,91,97,48,53
chr16:69094001-69095000,55,0,0,20,18
chr16:69097401-69098001,13,35,39,115,18
chr16:69099802-69103399,43,17,68,19,17
chr16:69469001-69471600,0,37,102,105,19
chr16:69472502-69472626,8,1,8,0,0
chr16:69554401-69556200,83,188,34,70,47
chr16:69561001-69561200,0,15,0,5,1
chr16:69944401-69944600,0,22,33,0,13
chr16:69946201-69946800,17,84,27,39,138
chr16:70213201-70215000,177,159,423,176,247
chr16:70217200-70217600,15,75,132,137,74
chr16:71841801-71842200,21,22,22,21,0
chr16:71842401-71842600,22,0,28,80,6
chr16:71842801-71844400,86,120,233,84,19
chr16:72030001-72030400,22,0,57,10,14
chr16:72032001-72033000,0,43,19,0,37
chr16:72035601-72035800,34,3,15,0,18
chr16:72041801-72043000,39,52,13,102,19
chr16:72188602-72192399,0,50,135,10,71
chr16:72207401-72208200,27,29,20,20,48
chr16:74403401-74405399,182,1209,444,638,746
chr16:74442802-74443800,89,66,79,103,143
chr16:74445601-74445800,2,14,0,30,3
chr16:75271002-75273999,44,54,57,16,130
chr16:75279001-75281400,0,20,18,39,0
chr16:75468001-75469400,0,56,0,9,6
chr16:79579201-79581840,3,16,0,21,52
chr16:79601537-79601969,146,308,220,321,275
chr16:79602140-79602433,194,248,226,332,182
chr16:79652402-79654399,0,63,43,40,94
chr16:79656202-79659747,63,99,49,33,35
chr16:80577402-80581999,48,257,76,56,17
chr16:80586601-80586800,9,0,9,21,0
chr16:80590601-80592399,67,24,29,31,38
chr16:81293801-81294800,0,12,19,2,0
chr16:81437001-81439200,23,37,19,71,19
chr16:81975001-81976000,0,0,19,38,37
chr16:83830802-83831851,21,0,18,0,18
chr16:83840001-83850400,15,37,0,0,25
chr16:84471427-84471804,11,49,11,46,16
chr16:84643202-84643615,6,16,0,37,30
chr16:84643686-84643994,1,39,0,13,18
chr16:84670972-84671281,11,0,9,7,0
chr16:84672105-84674000,22,46,45,48,0
chr16:84691001-84693800,0,10,14,41,0
chr16:84785402-84788199,0,30,71,129,108
chr16:84940601-84941200,22,0,19,30,32
chr16:84941401-84942357,40,3,90,89,173
chr16:84946601-84950399,5350,4458,4236,1310,8899
chr16:84970377-84973600,43,0,20,0,112
chr16:85015107-85015418,52,24,4,0,15
chr16:85094801-85095600,0,72,16,20,18
chr16:85119201-85119400,9,10,9,0,0
chr16:85128601-85129200,0,15,19,10,0
chr16:85129602-85131400,21,0,0,31,53
chr16:85151567-85152153,40,24,5,21,13
chr16:85162521-85162673,11,16,6,16,0
chr16:85751962-85752419,18,18,0,53,0
chr16:85765002-85766799,465,323,251,490,437
chr16:85767001-85768999,245,350,297,363,347
chr16:85887401-85892400,0,0,19,40,18
chr16:86608108-86611929,22,18,19,15,0
chr16:87075402-87077799,21,0,0,39,17
chr16:87813601-87817199,10,0,0,29,8
chr16:88107401-88108200,11,0,71,6,14
chr16:88142201-88146400,25,0,0,22,20
chr16:88230546-88231247,93,152,193,279,164
chr16:88231401-88231600,25,27,128,95,43
chr16:88232680-88232927,29,9,41,40,44
chr16:88303401-88308600,85,18,33,98,38
chr16:88314602-88318199,113,48,434,53,269
chr16:88442029-88443799,0,0,56,21,19
chr16:88539693-88541000,0,19,19,0,9
chr16:88547802-88548600,0,12,0,8,18
chr16:88551801-88552600,0,107,75,41,163
chr16:88552660-88553399,0,209,34,0,37
chr16:88553801-88554200,49,302,38,390,89
chr16:88554401-88555216,42,207,48,100,104
chr16:88556006-88556208,22,104,17,0,29
chr16:88558602-88559999,81,119,87,127,157
chr16:88565801-88566800,79,412,227,220,193
chr16:88634854-88635255,58,2,3,0,1
chr16:88793718-88793872,48,58,33,11,25
chr16:88799184-88799555,0,14,19,39,1
chr16:88872601-88873201,2,77,58,204,66
chr16:88981060-88981384,0,47,4,24,0
chr16:89060001-89062000,191,34,38,222,14
chr16:89067601-89068200,4,16,13,103,18
chr16:89069634-89069759,10,0,0,10,2
chr16:89071667-89072800,23,28,25,171,0
chr16:89169893-89170290,0,18,0,15,7
chr16:89243534-89243655,16,8,13,10,0
chr15:21728001-21728200,38,3,108,13,9
chr15:23307455-23308000,0,18,57,80,0
chr15:25641002-25644799,108,55,164,20,33
chr15:25673001-25674000,0,17,7,29,17
chr15:25674801-25675400,22,0,19,0,18
chr15:27678802-27680600,21,223,128,102,0
chr15:28775401-28779200,85,203,67,129,189
chr15:30186916-30187400,16,72,9,13,18
chr15:30423601-30424000,168,3,237,18,142
chr15:30434401-30434600,2,2,0,11,2
chr15:30446201-30446400,0,9,2,12,25
chr15:30447001-30448200,75,106,74,45,157
chr15:30525401-30528599,95,77,20,39,15
chr15:30530801-30531200,30,24,19,0,6
chr15:31195201-31201800,187,152,50,98,41
chr15:31202601-31203800,158,230,160,383,110
chr15:31204401-31204640,14,131,84,51,42
chr15:31206802-31208000,86,51,286,219,35
chr15:31208401-31209399,11,0,82,40,16
chr15:31241201-31242800,59,44,63,36,31
chr15:31248001-31249600,83,186,309,123,29
chr15:31307112-31307238,0,0,17,7,17
chr15:31308352-31308553,0,0,20,11,3
chr15:31311401-31311799,0,18,9,63,10
chr15:31312201-31312800,0,27,51,61,26
chr15:31314401-31315200,67,118,250,31,106
chr15:31315801-31321199,363,532,810,410,802
chr15:31324992-31325318,137,173,124,250,207
chr15:31447202-31449599,25,90,39,26,0
chr15:31456602-31460200,0,56,18,102,22
chr15:31465274-31466142,23,5,9,21,0
chr15:32459001-32459200,33,25,51,64,18
chr15:32478602-32482000,71,144,17,27,50
chr15:32504201-32508000,28,161,38,72,66
chr15:34122593-34123600,63,55,14,34,56
chr15:34126201-34127000,45,104,62,114,98
chr15:34129569-34129849,0,37,60,27,28
chr15:34847401-34848000,34,8,79,78,62
chr15:35036401-35037000,10,32,7,72,0
chr15:35042002-35044999,13,0,19,81,48
chr15:35053601-35055000,14,0,19,30,0
chr15:36403001-36404400,16,0,7,0,10
chr15:36405802-36408400,66,72,122,21,120
chr15:37106785-37107621,92,321,152,138,237
chr15:40308884-40309135,0,11,0,1,9
chr15:40403601-40404025,22,0,73,10,37
chr15:40680202-40681400,23,55,48,0,0
chr15:40913602-40920199,59,72,25,17,115
chr15:40922401-40923599,52,39,0,19,0
chr15:40928357-40928714,0,27,3,0,9
chr15:40941523-40942263,10,16,22,0,13
chr15:40944801-40945600,65,103,54,19,120
chr15:41167801-41171000,9,27,0,0,7
chr15:43869782-43869907,0,19,0,9,8
chr15:48680002-48682000,17,17,10,40,12
chr15:48693201-48697001,119,152,33,113,75
chr15:48703202-48703980,8,0,38,0,19
chr15:48710802-48711516,41,125,47,20,75
chr15:49096201-49096600,159,161,57,93,53
chr15:49104001-49104800,44,0,74,129,15
chr15:49830201-49830801,22,18,0,0,38
chr15:49831292-49833014,18,18,19,30,19
chr15:49855001-49857600,54,37,39,17,32
chr15:50389802-50392600,20,0,17,0,13
chr15:50404801-50407400,0,0,19,10,19
chr15:56003601-56004199,605,191,595,528,320
chr15:56004400-56004601,31,63,15,24,20
chr15:57309801-57313400,118,214,393,176,130
chr15:57332802-57341399,64,41,65,116,75
chr15:59692601-59693200,53,9,39,61,95
chr15:59694601-59695400,197,201,84,218,257
chr15:60418049-60418331,0,0,16,3,4
chr15:62175001-62176000,20,48,133,0,32
chr15:63072601-63079199,0,56,16,134,8
chr15:63311801-63313200,287,204,106,150,319
chr15:63487214-63487521,0,0,57,10,38
chr15:63488060-63488292,9,44,7,56,132
chr15:63488754-63488902,82,24,14,17,191
chr15:63490277-63490566,442,111,360,294,1249
chr15:63491099-63491446,349,93,321,206,885
chr15:63492823-63492923,63,14,30,23,190
chr15:63497151-63497433,33,16,121,84,59
chr15:63497719-63498054,50,18,26,0,71
chr15:63498991-63499263,20,10,28,10,40
chr15:63604402-63607199,0,0,17,53,94
chr15:63839602-63844399,0,5,18,19,17
chr15:63855602-63861799,18,15,31,42,15
chr15:63878602-63882800,69,10,74,0,31
chr15:64146762-64147600,42,31,56,20,18
chr15:64730602-64732188,73,61,62,58,124
chr15:64732201-64732903,0,5,1,0,9
chr15:64781401-64783400,0,0,76,32,12
chr15:64792309-64792571,34,10,38,0,37
chr15:64801401-64803400,74,56,20,57,0
chr15:64811067-64811375,0,20,4,0,12
chr15:64835729-64836009,29,34,8,41,25
chr15:65085371-65085737,24,41,0,6,5
chr15:65087604-65087842,0,0,23,53,20
chr15:65189001-65189600,0,37,9,30,18
chr15:65217801-65218800,0,0,55,40,37
chr15:66573402-66574884,22,0,39,2,0
chr15:66883307-66883681,11,0,9,20,19
chr15:66900801-66902200,41,18,0,20,0
chr15:67812001-67813000,40,10,10,20,17
chr15:68030801-68039600,79,0,0,35,21
chr15:68570002-68573200,67,128,0,60,35
chr15:68758001-68758600,22,0,18,0,18
chr15:68761001-68762000,35,29,62,40,66
chr15:68762201-68766400,37,71,74,39,178
chr15:68768001-68768999,44,15,0,9,0
chr15:68769801-68772400,23,28,3,0,19
chr15:69064401-69064600,11,108,9,79,29
chr15:69064801-69065000,2,39,0,61,9
chr15:69066401-69066600,12,150,4,108,42
chr15:69852602-69858799,18,15,15,101,208
chr15:69867525-69867787,0,0,13,8,19
chr15:69903402-69904799,0,1,17,0,38
chr15:69954602-69959199,61,39,0,18,17
chr15:69986601-69987601,0,0,38,20,1
chr15:69996402-69998399,38,116,20,62,0
chr15:70029401-70029800,0,262,50,138,0
chr15:70031601-70034400,423,3013,434,947,199
chr15:70035001-70037599,147,1572,261,660,266
chr15:70099059-70099896,0,24,0,22,7
chr15:70455401-70456400,40,0,0,13,18
chr15:70534999-70535303,12,28,48,61,18
chr15:70568990-70570399,42,109,48,38,0
chr15:70588802-70589999,23,18,38,40,0
chr15:70618201-70618400,71,30,0,20,19
chr15:70627602-70634400,223,521,207,129,186
chr15:70643202-70644799,43,73,91,0,33
chr15:70650201-70652600,68,37,33,19,56
chr15:72739201-72741399,200,101,355,268,230
chr15:72748459-72748858,25,18,150,109,20
chr15:72800001-72801600,23,37,0,19,0
chr15:73899001-73899200,25,38,58,62,50
chr15:73899402-73900571,150,48,74,60,116
chr15:74053985-74054280,168,103,176,90,53
chr15:74059001-74059800,0,131,19,20,0
chr15:74402616-74403193,0,26,9,17,0
chr15:74441802-74444103,0,0,20,21,11
chr15:74521402-74522400,22,0,19,0,12
chr15:74523802-74526999,57,77,170,112,47
chr15:74529401-74532599,43,58,89,82,183
chr15:74534601-74537200,140,256,204,77,220
chr15:74806401-74810199,62,83,86,134,47
chr15:74951801-74952800,2,18,0,55,18
chr15:75129940-75130367,16,33,18,45,0
chr15:75131016-75131581,22,22,23,13,8
chr15:75135601-75140999,1502,1991,604,1107,1557
chr15:75167601-75169200,81,144,38,82,75
chr15:75189628-75189806,8,3,2,0,18
chr15:75214801-75216999,210,439,282,322,249
chr15:75218802-75220399,495,739,166,555,395
chr15:75224452-75224580,23,67,11,17,57
chr15:75343801-75344400,78,31,23,68,24
chr15:75666720-75667100,0,67,65,8,0
chr15:77093401-77094000,41,62,38,53,56
chr15:77094601-77095000,0,3,18,20,9
chr15:77096201-77096800,66,37,9,0,0
chr15:77097201-77097999,28,14,29,21,37
chr15:77501000-77501800,0,0,19,51,98
chr15:77502802-77511799,0,142,194,61,89
chr15:77514601-77516000,0,11,19,34,38
chr15:77518601-77519400,33,116,25,20,0
chr15:77536002-77539999,47,53,0,21,0
chr15:77938801-77940200,23,18,39,91,160
chr15:78327002-78328199,0,4,0,40,4
chr15:78908602-78918999,700,316,1414,1327,934
chr15:79797801-79799400,14,17,18,0,37
chr15:79811202-79813599,0,37,103,104,56
chr15:80007602-80011799,69,35,64,114,83
chr15:80017807-80017996,59,148,132,24,31
chr15:80019001-80021200,474,417,447,125,162
chr15:80026002-80027400,85,120,19,89,0
chr15:80028601-80029600,0,109,156,36,0
chr15:80052202-80055000,12,10,39,0,34
chr15:80149401-80150200,0,18,0,36,8
chr15:80191601-80192000,0,2,45,30,0
chr15:81157200-81158001,0,64,19,0,37
chr15:82742001-82742799,263,443,389,386,149
chr15:82743404-82743457,7,6,2,19,17
chr15:84147201-84147685,11,7,8,0,26
chr15:84369401-84369800,0,51,0,9,18
chr15:84377001-84377775,0,0,11,31,14
chr15:84431201-84432010,14,50,8,55,41
chr15:84489001-84490800,0,13,34,0,17
chr15:84807201-84807800,22,0,0,20,1
chr15:84809720-84812600,90,73,95,187,133
chr15:88612818-88613656,38,107,35,39,63
